17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
19	17	13	19	18	19	17	18	20	58	130	52	65	54	55	46
20	18	13	21	20	18	15	15	19	23	123	63	50	29	31	17
20	19	14	21	20	19	15	17	19	28	55	35	18	448	26	16
224	21	15	19	22	21	16	17	36	19	18	23	29	19	15	18
20	884	15	19	19	17	15	18	18	19	16	23	20	18	18	18
484	69	14	32	50	63	18	44	118	21	19	39	40	30	15	20
18	32	14	192	91	69	51	17	19	21	18	23	28	20	16	15
24	16	15	24	27	19	14	15	23	194	69	35	66	66	53	107
35	319	14	130	56	67	80	899	17	20	18	25	26	19	15	16
32	20	15	22	22	18	15	16	54	37	32	28	27	31	30	77
18	20	13	62	167	76	19	16	21	20	17	20	21	19	15	18
20	18	13	23	38	22	15	15	23	167	165	90	106	87	101	365
19	74	13	36	35	25	13	55	18	20	17	22	22	21	16	14
18	18	16	18	20	16	14	17	20	20	69	41	40	49	54	21
21	639	14	21	21	24	17	24	20	20	16	21	19	18	16	16
22	20	14	23	19	17	14	16	19	41	62	50	34	32	130	112
18	22	13	19	24	18	15	16	18	38	176	115	120	319	111	23
20	40	15	48	29	38	70	25	17	21	19	23	18	20	16	18
19	18	14	22	21	19	14	13	20	33	1145	45	27	54	53	51
18	20	15	19	18	18	15	15	20	23	568	23	17	19	14	17
19	18	16	19	21	17	13	17	21	25	67	38	21	20	871	748
587	36	14	32	55	40	14	20	123	28	17	42	39	50	17	17
19	16	13	22	21	20	16	14	20	45	77	39	22	23	990	28
20	17	14	19	21	18	12	17	20	49	54	26	25	22	27	71
19	19	14	21	24	17	13	14	20	20	18	305	20	20	29	18
22	37	14	41	29	85	131	17	20	20	20	21	20	18	18	16
18	53	14	31	21	28	138	26	18	20	18	23	18	18	15	16
19	18	15	20	20	17	12	14	20	19	993	26	20	18	22	22
17	21	15	21	19	17	16	17	20	20	42	22	22	161	16	17
21	126	15	63	45	56	53	127	19	19	17	24	22	19	16	17
21	17	15	21	19	17	15	17	21	34	92	41	38	52	60	27
34	295	13	118	46	61	424	308	17	21	17	20	30	32	17	18
21	21	15	22	25	409	15	16	18	21	16	25	21	20	16	19
27	18	14	20	19	17	14	15	18	81	20	22	36	52	25	61
23	430	15	37	29	39	20	59	20	19	19	21	20	19	15	15
19	19	14	21	17	17	13	16	18	69	159	61	58	54	67	80
18	18	14	17	16	17	14	17	18	98	90	28	24	38	30	41
21	19	15	135	27	40	34	15	19	19	18	22	22	18	16	16
19	41	13	54	62	69	57	18	20	20	17	21	20	18	16	18
20	19	13	23	24	24	15	16	23	82	41	38	51	30	21	197
36	22	15	44	66	39	16	15	26	986	1604	257	493	851	248	121
18	18	13	23	21	16	17	15	19	20	32	445	29	24	47	21
19	22	15	49	62	79	25	16	18	19	16	23	21	17	16	18
19	15	15	19	21	17	15	14	20	40	68	39	23	29	228	26
20	64	14	38	28	2679	24	18	21	22	16	20	40	23	17	17
21	19	14	43	78	36	17	15	26	54	940	3331	136	152	443	111
19	17	15	19	21	17	15	18	18	58	150	67	57	97	240	67
74	48	14	25	36	27	16	35	35	22	18	23	24	19	17	16
88	268	12	108	78	73	28	149	29	20	20	26	40	31	18	16
19	16	14	19	20	15	15	19	20	20	59	34	35	78	40	17
62	29	14	18	29	26	16	20	23	38	59	33	51	31	46	24
20	20	15	19	19	25	16	18	20	60	76	49	33	26	27	878
17	18	15	20	18	19	14	16	20	26	56	22	20	154	14	18
17	16	14	20	19	18	15	15	21	47	271	77	64	62	46	40
19	20	15	20	20	17	15	17	19	31	908	136	50	69	71	46
21	33	14	88	47	61	35	24	19	20	18	21	19	19	17	16
19	22	16	33	36	226	15	14	21	21	17	25	26	20	13	17
19	16	14	20	20	16	17	20	20	19	50	21	22	209	24	16
18	20	14	19	19	16	17	16	19	43	63	22	36	28	30	33
183	22	15	22	33	31	14	16	32	39	117	53	27	44	39	153
21	19	15	83	150	48	37	27	16	18	19	24	22	21	16	13
20	19	15	317	18	17	14	16	19	19	19	23	21	20	15	16
18	65	14	33	22	27	21	71	18	20	20	24	22	18	14	19
18	18	14	20	20	18	15	16	21	25	1004	22	20	23	23	18
20	22	14	41	239	44	22	16	18	23	19	21	21	18	18	18
20	19	14	21	21	17	13	14	20	21	36	36	214	58	29	20
50	212	13	106	36	33	24	1766	20	18	16	29	30	24	15	16
20	18	14	20	22	16	15	15	19	28	67	30	26	32	127	57
